schoolcode,zip,districtcode,districtname,schoolname,cohortstudents,graduates_count,graduates_rate,college_going_rate,completers,enrolled_in_college
1936749,90723,64873,Paramount Unified,Paramount High,1103,1025,92.9,56.9,1040.0,592.0
1936756,90712,64873,Paramount Unified,Buena Vista High,135,109,80.7,9.5,84.0,8.0
113464,91001,64881,Pasadena Unified,Aveson Global Leadership Academy,49,43,87.8,,,
117440,91107,64881,Pasadena Unified,CIS Academy,89,33,37.1,57.7,52.0,30.0
118075,91107,64881,Pasadena Unified,Learning Works,76,21,27.6,,,
1931062,91106,64881,Pasadena Unified,Blair High,96,75,78.1,68.3,104.0,71.0
1931674,91104,64881,Pasadena Unified,Marshall Fundamental,243,238,97.9,81.2,202.0,164.0
1936103,91103,64881,Pasadena Unified,John Muir High,165,152,92.1,62.3,175.0,109.0
1936822,91107,64881,Pasadena Unified,Pasadena High,381,370,97.1,80.7,446.0,360.0
115170,91767,64907,Pomona Unified,School of Extended Educational Options,222,72,32.4,,,
1933175,91768,64907,Pomona Unified,Ganesha High,238,212,89.1,56.2,203.0,114.0
1933324,91766,64907,Pomona Unified,Garey High,382,343,89.8,56.9,332.0,189.0
1937028,91767,64907,Pomona Unified,Pomona High,288,241,83.7,57.1,273.0,156.0
1995901,91766,64907,Pomona Unified,Diamond Ranch High,397,380,95.7,79.5,385.0,306.0
1996495,91767,64907,Pomona Unified,Village Academy High School at Indian Hill,70,68,97.1,67.1,73.0,49.0
6061634,91766,64907,Pomona Unified,Fremont Academy of Engineering and Design,75,70,93.3,57.8,128.0,74.0
6061642,91767,64907,Pomona Unified,Palomares Academy of Health Science,33,27,81.8,62.5,40.0,25.0
1937754,91108,64964,San Marino Unified,San Marino High,262,252,96.2,86.3,291.0,251.0
1938000,90405,64980,Santa Monica-Malibu Unified,Santa Monica High,655,624,95.3,74.0,676.0,500.0
1995737,90265,64980,Santa Monica-Malibu Unified,Malibu High,150,143,95.3,72.1,147.0,106.0
1938455,91030,65029,South Pasadena Unified,South Pasadena Senior High,323,1,0.3,85.9,382.0,328.0
1938679,91780,65052,Temple City Unified,Temple City High,487,473,97.1,89.4,510.0,456.0
1995745,91780,65052,Temple City Unified,Dr. Doug Sears Learning Center,15,14,93.3,26.7,15.0,4.0
1936277,90504,65060,Torrance Unified,North High,416,387,93.0,79.0,443.0,350.0
1938356,90505,65060,Torrance Unified,South High,496,474,95.6,82.7,452.0,374.0
1938752,90501,65060,Torrance Unified,Torrance High,430,413,96.0,75.4,488.0,368.0
1939602,90503,65060,Torrance Unified,West High,498,490,98.4,85.4,487.0,416.0
112706,93065,65094,West Covina Unified,California Virtual Academy @ Los Angeles,352,258,73.3,,,
122432,91790,65094,West Covina Unified,Edgewood High,187,179,95.7,75.0,204.0,153.0
1939537,91791,65094,West Covina Unified,West Covina High,495,474,95.8,70.2,490.0,344.0
1931302,90604,65128,Whittier Union High,California High,670,658,98.2,68.0,615.0,418.0
1934868,90605,65128,Whittier Union High,La Serna High,587,562,95.7,79.6,702.0,559.0
1936889,90606,65128,Whittier Union High,Pioneer High,273,264,96.7,59.9,319.0,191.0
1937903,90670,65128,Whittier Union High,Santa Fe High,512,483,94.3,64.8,566.0,367.0
1939701,90601,65128,Whittier Union High,Whittier High,405,394,97.3,73.1,461.0,337.0
102459,91321,65136,William S. Hart Union High,Golden Valley High,499,465,93.2,72.5,425.0,308.0
102475,91381,65136,William S. Hart Union High,West Ranch High,525,515,98.1,84.8,579.0,491.0
112359,91350,65136,William S. Hart Union High,Sequoia School,12,11,91.7,,,
114439,91355,65136,William S. Hart Union High,Mission View Public,124,37,29.8,,,
117234,91384,65136,William S. Hart Union High,Santa Clarita Valley International,69,62,89.9,,,
1931492,91351,65136,William S. Hart Union High,Canyon High,505,497,98.4,72.9,495.0,361.0
1931492,91351,65136,William S. Hart Union High,Canyon High,505,497,98.4,82.9,566.0,469.0
